Question,Answer
What is the location of the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,CFA 206A
How many units is the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,VAR
Who are the instructors of the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY)?,Khan
Is the course 48616 Carnival Gateway Special Project (CARNIVAL GATEWAY) offered in  Spring 2024?,Yes
What is the course number of Discourse and Praxis in the Climate Emergency?,48618
What is the name of course number 48618?,Discourse and Praxis in the Climate Emergency
What time does the course 48618 Discourse and Praxis in the Climate Emergency begin?,11:00AM
What time does the course 48618 Discourse and Praxis in the Climate Emergency end?,12:20PM
What days does the course 48618 Discourse and Praxis in the Climate Emergency meet?,"Monday, "
What is the location of the course 48618 Discourse and Praxis in the Climate Emergency?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48618 Discourse and Praxis in the Climate Emergency?,MM 307
How many units is the course 48618 Discourse and Praxis in the Climate Emergency?,VAR
Who are the instructors of the course 48618 Discourse and Praxis in the Climate Emergency?,Anklesaria
Is the course 48618 Discourse and Praxis in the Climate Emergency offered in  Spring 2024?,Yes
What is the course number of Structural Design 2: Materials and Analysis?,48638
What is the name of course number 48638?,Structural Design 2: Materials and Analysis
What time does the course 48638 Structural Design 2: Materials and Analysis begin?,02:00PM
What time does the course 48638 Structural Design 2: Materials and Analysis end?,03:20PM
What days does the course 48638 Structural Design 2: Materials and Analysis meet?,"Tuesday, Thursday"
What is the location of the course 48638 Structural Design 2: Materials and Analysis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48638 Structural Design 2: Materials and Analysis?,WEH 4707
How many units is the course 48638 Structural Design 2: Materials and Analysis?,9.0
Who are the instructors of the course 48638 Structural Design 2: Materials and Analysis?,Lee
Is the course 48638 Structural Design 2: Materials and Analysis offered in  Spring 2024?,Yes
What is the course number of History of Modern Architecture?,48641
What is the name of course number 48641?,History of Modern Architecture
What time does the course 48641 History of Modern Architecture begin?,10:00AM
What time does the course 48641 History of Modern Architecture end?,10:50AM
What days does the course 48641 History of Modern Architecture meet?,"Monday, Wednesday, Friday"
What is the location of the course 48641 History of Modern Architecture?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48641 History of Modern Architecture?,MM A14
How many units is the course 48641 History of Modern Architecture?,VAR
Who are the instructors of the course 48641 History of Modern Architecture?,Gutschow
Is the course 48641 History of Modern Architecture offered in  Spring 2024?,Yes
What is the course number of M.Arch Pre-Thesis?,48644
What is the name of course number 48644?,M.Arch Pre-Thesis
What time does the course 48644 M.Arch Pre-Thesis begin?,09:00AM
What time does the course 48644 M.Arch Pre-Thesis end?,09:50AM
What days does the course 48644 M.Arch Pre-Thesis meet?,Friday
What is the location of the course 48644 M.Arch Pre-Thesis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48644 M.Arch Pre-Thesis?,MM 321
How many units is the course 48644 M.Arch Pre-Thesis?,3.0
Who are the instructors of the course 48644 M.Arch Pre-Thesis?,Goral
Is the course 48644 M.Arch Pre-Thesis offered in  Spring 2024?,Yes
What is the course number of Ethics and Decision Making in Architecture?,48648
What is the name of course number 48648?,Ethics and Decision Making in Architecture
What time does the course 48648 Ethics and Decision Making in Architecture begin?,04:00PM
What time does the course 48648 Ethics and Decision Making in Architecture end?,05:50PM
What days does the course 48648 Ethics and Decision Making in Architecture meet?,"Tuesday, "
What is the location of the course 48648 Ethics and Decision Making in Architecture?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48648 Ethics and Decision Making in Architecture?,WEH 5403
How many units is the course 48648 Ethics and Decision Making in Architecture?,6.0
Who are the instructors of the course 48648 Ethics and Decision Making in Architecture?,Vavasis
Is the course 48648 Ethics and Decision Making in Architecture offered in  Spring 2024?,Yes
What is the course number of Constructing Value(s): Economies of Design?,48658
What is the name of course number 48658?,Constructing Value(s): Economies of Design
What time does the course 48658 Constructing Value(s): Economies of Design begin?,06:00PM
What time does the course 48658 Constructing Value(s): Economies of Design end?,07:50PM
What days does the course 48658 Constructing Value(s): Economies of Design meet?,"Tuesday, "
What is the location of the course 48658 Constructing Value(s): Economies of Design?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48658 Constructing Value(s): Economies of Design?,CFA 214
How many units is the course 48658 Constructing Value(s): Economies of Design?,VAR
Who are the instructors of the course 48658 Constructing Value(s): Economies of Design?,Darga Ozutemiz
Is the course 48658 Constructing Value(s): Economies of Design offered in  Spring 2024?,Yes
What is the course number of Material Histories?,48667
What is the name of course number 48667?,Material Histories
What time does the course 48667 Material Histories begin?,01:00PM
What time does the course 48667 Material Histories end?,04:50PM
What days does the course 48667 Material Histories meet?,"Tuesday, Thursday"
What is the location of the course 48667 Material Histories?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48667 Material Histories?,MM 320
How many units is the course 48667 Material Histories?,18.0
Who are the instructors of the course 48667 Material Histories?,Rafson
Is the course 48667 Material Histories offered in  Spring 2024?,Yes
What is the course number of Design and Documentation in Revit?,48685
What is the name of course number 48685?,Design and Documentation in Revit
What time does the course 48685 Design and Documentation in Revit begin?,09:30AM
What time does the course 48685 Design and Documentation in Revit end?,10:50AM
What days does the course 48685 Design and Documentation in Revit meet?,"Monday, "
What is the location of the course 48685 Design and Documentation in Revit?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48685 Design and Documentation in Revit?,MM A11
How many units is the course 48685 Design and Documentation in Revit?,VAR
Who are the instructors of the course 48685 Design and Documentation in Revit?,Sawyer
Is the course 48685 Design and Documentation in Revit offered in  Spring 2024?,Yes
What is the course number of Graduate Seminar 2: Issue of Global Urbanization?,48712
What is the name of course number 48712?,Graduate Seminar 2: Issue of Global Urbanization
What time does the course 48712 Graduate Seminar 2: Issue of Global Urbanization begin?,07:00PM
What time does the course 48712 Graduate Seminar 2: Issue of Global Urbanization end?,08:20PM
What days does the course 48712 Graduate Seminar 2: Issue of Global Urbanization meet?,"Wednesday, "
What is the location of the course 48712 Graduate Seminar 2: Issue of Global Urbanization?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48712 Graduate Seminar 2: Issue of Global Urbanization?,MM 415IW
How many units is the course 48712 Graduate Seminar 2: Issue of Global Urbanization?,3-9
Who are the instructors of the course 48712 Graduate Seminar 2: Issue of Global Urbanization?,Nisa
Is the course 48712 Graduate Seminar 2: Issue of Global Urbanization offered in  Spring 2024?,Yes
What is the course number of MSCD Pre-Thesis 1?,48715
What is the name of course number 48715?,MSCD Pre-Thesis 1
What time does the course 48715 MSCD Pre-Thesis 1 begin?,10:00AM
What time does the course 48715 MSCD Pre-Thesis 1 end?,11:50AM
What days does the course 48715 MSCD Pre-Thesis 1 meet?,"Wednesday, "
What is the location of the course 48715 MSCD Pre-Thesis 1?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48715 MSCD Pre-Thesis 1?,MM 307
How many units is the course 48715 MSCD Pre-Thesis 1?,6.0
Who are the instructors of the course 48715 MSCD Pre-Thesis 1?,"Byrne, Erdolu"
Is the course 48715 MSCD Pre-Thesis 1 offered in  Spring 2024?,Yes
What is the course number of Building Performance Modeling?,48722
What is the name of course number 48722?,Building Performance Modeling
What time does the course 48722 Building Performance Modeling begin?,02:00PM
What time does the course 48722 Building Performance Modeling end?,03:20PM
What days does the course 48722 Building Performance Modeling meet?,"Tuesday, Thursday"
What is the location of the course 48722 Building Performance Modeling?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48722 Building Performance Modeling?,MM 415IW
How many units is the course 48722 Building Performance Modeling?,VAR
Who are the instructors of the course 48722 Building Performance Modeling?,Liang
Is the course 48722 Building Performance Modeling offered in  Spring 2024?,Yes
What is the course number of Sustainable Design Synthesis?,48732
What is the name of course number 48732?,Sustainable Design Synthesis
What time does the course 48732 Sustainable Design Synthesis begin?,10:00AM
What time does the course 48732 Sustainable Design Synthesis end?,12:20PM
What days does the course 48732 Sustainable Design Synthesis meet?,Friday
What is the location of the course 48732 Sustainable Design Synthesis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48732 Sustainable Design Synthesis?,MM 415IW
How many units is the course 48732 Sustainable Design Synthesis?,"0,12,24"
Who are the instructors of the course 48732 Sustainable Design Synthesis?,"Cupkova, Suarez"
Is the course 48732 Sustainable Design Synthesis offered in  Spring 2024?,Yes
What is the course number of Design Fabrication?,48745
What is the name of course number 48745?,Design Fabrication
What time does the course 48745 Design Fabrication begin?,09:30AM
What time does the course 48745 Design Fabrication end?,10:50AM
What days does the course 48745 Design Fabrication meet?,"Monday, Wednesday, "
What is the location of the course 48745 Design Fabrication?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48745 Design Fabrication?,MM C4
How many units is the course 48745 Design Fabrication?,9.0
Who are the instructors of the course 48745 Design Fabrication?,Patel
Is the course 48745 Design Fabrication offered in  Spring 2024?,Yes
What is the course number of Project Planning and Reporting?,48756
What is the name of course number 48756?,Project Planning and Reporting
What time does the course 48756 Project Planning and Reporting begin?,02:00PM
What time does the course 48756 Project Planning and Reporting end?,04:50PM
What days does the course 48756 Project Planning and Reporting meet?,Friday
What is the location of the course 48756 Project Planning and Reporting?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48756 Project Planning and Reporting?,PH 226A
How many units is the course 48756 Project Planning and Reporting?,VAR
Who are the instructors of the course 48756 Project Planning and Reporting?,Hameen
Is the course 48756 Project Planning and Reporting offered in  Spring 2024?,Yes
What is the course number of MAAD Advanced Synthesis Options Studio II?,48776
What is the name of course number 48776?,MAAD Advanced Synthesis Options Studio II
What time does the course 48776 MAAD Advanced Synthesis Options Studio II begin?,01:00PM
What time does the course 48776 MAAD Advanced Synthesis Options Studio II end?,04:20PM
What days does the course 48776 MAAD Advanced Synthesis Options Studio II meet?,"Tuesday, Thursday"
What is the location of the course 48776 MAAD Advanced Synthesis Options Studio II?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48776 MAAD Advanced Synthesis Options Studio II?,MM 312
How many units is the course 48776 MAAD Advanced Synthesis Options Studio II?,18.0
Who are the instructors of the course 48776 MAAD Advanced Synthesis Options Studio II?,Ficca
Is the course 48776 MAAD Advanced Synthesis Options Studio II offered in  Spring 2024?,Yes
What is the course number of MAAD Research by Design Project?,48785
What is the name of course number 48785?,MAAD Research by Design Project
What time does the course 48785 MAAD Research by Design Project begin?,01:00PM
What time does the course 48785 MAAD Research by Design Project end?,04:50PM
What days does the course 48785 MAAD Research by Design Project meet?,"Tuesday, Thursday"
What is the location of the course 48785 MAAD Research by Design Project?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 48785 MAAD Research by Design Project?,MM 312
How many units is the course 48785 MAAD Research by Design Project?,18.0
Who are the instructors of the course 48785 MAAD Research by Design Project?,Rafson
Is the course 48785 MAAD Research by Design Project offered in  Spring 2024?,Yes
"What is the course number of Foundations: Risk, Agency, Failure?",60101
What is the name of course number 60101?,"Foundations: Risk, Agency, Failure"
"What time does the course 60101 Foundations: Risk, Agency, Failure begin?",08:00AM
"What time does the course 60101 Foundations: Risk, Agency, Failure end?",10:50AM
"What days does the course 60101 Foundations: Risk, Agency, Failure meet?","Monday, Wednesday, "
"What is the location of the course 60101 Foundations: Risk, Agency, Failure?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 60101 Foundations: Risk, Agency, Failure?",DH B309
"How many units is the course 60101 Foundations: Risk, Agency, Failure?",10.0
"Who are the instructors of the course 60101 Foundations: Risk, Agency, Failure?",Ray
"Is the course 60101 Foundations: Risk, Agency, Failure offered in  Spring 2024?",Yes
What is the course number of Foundations: Critical Studies?,60107
What is the name of course number 60107?,Foundations: Critical Studies
What time does the course 60107 Foundations: Critical Studies begin?,07:00PM
What time does the course 60107 Foundations: Critical Studies end?,09:20PM
What days does the course 60107 Foundations: Critical Studies meet?,"Tuesday, "
What is the location of the course 60107 Foundations: Critical Studies?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60107 Foundations: Critical Studies?,WEH 5403
How many units is the course 60107 Foundations: Critical Studies?,9.0
Who are the instructors of the course 60107 Foundations: Critical Studies?,Kim
Is the course 60107 Foundations: Critical Studies offered in  Spring 2024?,Yes
What is the course number of IDeATe: Introduction to 3D Animation Pipeline?,60125
What is the name of course number 60125?,IDeATe: Introduction to 3D Animation Pipeline
What time does the course 60125 IDeATe: Introduction to 3D Animation Pipeline begin?,12:30PM
What time does the course 60125 IDeATe: Introduction to 3D Animation Pipeline end?,01:50PM
What days does the course 60125 IDeATe: Introduction to 3D Animation Pipeline meet?,"Tuesday, Thursday"
What is the location of the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,CFA 317
How many units is the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,12.0
Who are the instructors of the course 60125 IDeATe: Introduction to 3D Animation Pipeline?,Mahler
Is the course 60125 IDeATe: Introduction to 3D Animation Pipeline offered in  Spring 2024?,Yes
What is the course number of Ceramics for Non-Majors?,60136
What is the name of course number 60136?,Ceramics for Non-Majors
What time does the course 60136 Ceramics for Non-Majors begin?,02:00PM
What time does the course 60136 Ceramics for Non-Majors end?,04:50PM
What days does the course 60136 Ceramics for Non-Majors meet?,"Monday, Wednesday, "
What is the location of the course 60136 Ceramics for Non-Majors?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60136 Ceramics for Non-Majors?,DH B301
How many units is the course 60136 Ceramics for Non-Majors?,10.0
Who are the instructors of the course 60136 Ceramics for Non-Majors?,Sekino-Bove
Is the course 60136 Ceramics for Non-Majors offered in  Spring 2024?,Yes
What is the course number of Digital Photography I?,60142
What is the name of course number 60142?,Digital Photography I
What time does the course 60142 Digital Photography I begin?,08:00AM
What time does the course 60142 Digital Photography I end?,10:50AM
What days does the course 60142 Digital Photography I meet?,"Tuesday, Thursday"
What is the location of the course 60142 Digital Photography I?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60142 Digital Photography I?,MM B2
How many units is the course 60142 Digital Photography I?,10.0
Who are the instructors of the course 60142 Digital Photography I?,Mantle
Is the course 60142 Digital Photography I offered in  Spring 2024?,Yes
What is the course number of Foundations: Paint/Print?,60170
What is the name of course number 60170?,Foundations: Paint/Print
What time does the course 60170 Foundations: Paint/Print begin?,08:00AM
What time does the course 60170 Foundations: Paint/Print end?,10:50AM
What days does the course 60170 Foundations: Paint/Print meet?,"Monday, Wednesday, "
What is the location of the course 60170 Foundations: Paint/Print?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60170 Foundations: Paint/Print?,CFA 308
How many units is the course 60170 Foundations: Paint/Print?,10.0
Who are the instructors of the course 60170 Foundations: Paint/Print?,Henderson
Is the course 60170 Foundations: Paint/Print offered in  Spring 2024?,Yes
What is the course number of Intermediate Studio: Museum as Resource?,60203
What is the name of course number 60203?,Intermediate Studio: Museum as Resource
What time does the course 60203 Intermediate Studio: Museum as Resource begin?,02:00PM
What time does the course 60203 Intermediate Studio: Museum as Resource end?,04:50PM
What days does the course 60203 Intermediate Studio: Museum as Resource meet?,"Monday, Wednesday, "
What is the location of the course 60203 Intermediate Studio: Museum as Resource?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60203 Intermediate Studio: Museum as Resource?,OFF CAMPUS
How many units is the course 60203 Intermediate Studio: Museum as Resource?,10.0
Who are the instructors of the course 60203 Intermediate Studio: Museum as Resource?,Beauford
Is the course 60203 Intermediate Studio: Museum as Resource offered in  Spring 2024?,Yes
What is the course number of Intermediate Studio: Stop-Motion Animation?,60219
What is the name of course number 60219?,Intermediate Studio: Stop-Motion Animation
What time does the course 60219 Intermediate Studio: Stop-Motion Animation begin?,08:00AM
What time does the course 60219 Intermediate Studio: Stop-Motion Animation end?,10:50AM
What days does the course 60219 Intermediate Studio: Stop-Motion Animation meet?,"Monday, Wednesday, "
What is the location of the course 60219 Intermediate Studio: Stop-Motion Animation?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60219 Intermediate Studio: Stop-Motion Animation?,CFA 313
How many units is the course 60219 Intermediate Studio: Stop-Motion Animation?,10.0
Who are the instructors of the course 60219 Intermediate Studio: Stop-Motion Animation?,DeYoung
Is the course 60219 Intermediate Studio: Stop-Motion Animation offered in  Spring 2024?,Yes
What is the course number of IDeATe: Introduction to Physical Computing?,60223
What is the name of course number 60223?,IDeATe: Introduction to Physical Computing
What time does the course 60223 IDeATe: Introduction to Physical Computing begin?,10:00AM
What time does the course 60223 IDeATe: Introduction to Physical Computing end?,11:50AM
What days does the course 60223 IDeATe: Introduction to Physical Computing meet?,"Monday, Wednesday, "
What is the location of the course 60223 IDeATe: Introduction to Physical Computing?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60223 IDeATe: Introduction to Physical Computing?,HL A10
How many units is the course 60223 IDeATe: Introduction to Physical Computing?,10.0
Who are the instructors of the course 60223 IDeATe: Introduction to Physical Computing?,Zacharias
Is the course 60223 IDeATe: Introduction to Physical Computing offered in  Spring 2024?,Yes
What is the course number of Intermediate Studio: Drawing with Machines?,60225
What is the name of course number 60225?,Intermediate Studio: Drawing with Machines
What time does the course 60225 Intermediate Studio: Drawing with Machines begin?,07:00PM
What time does the course 60225 Intermediate Studio: Drawing with Machines end?,09:50PM
What days does the course 60225 Intermediate Studio: Drawing with Machines meet?,"Tuesday, Thursday"
What is the location of the course 60225 Intermediate Studio: Drawing with Machines?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60225 Intermediate Studio: Drawing with Machines?,CFA 303
How many units is the course 60225 Intermediate Studio: Drawing with Machines?,10.0
Who are the instructors of the course 60225 Intermediate Studio: Drawing with Machines?,Levin
Is the course 60225 Intermediate Studio: Drawing with Machines offered in  Spring 2024?,Yes
What is the course number of Intermediate Studio: Ceramics?,60234
What is the name of course number 60234?,Intermediate Studio: Ceramics
What time does the course 60234 Intermediate Studio: Ceramics begin?,10:00AM
What time does the course 60234 Intermediate Studio: Ceramics end?,12:50PM
What days does the course 60234 Intermediate Studio: Ceramics meet?,"Monday, Wednesday, "
What is the location of the course 60234 Intermediate Studio: Ceramics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 60234 Intermediate Studio: Ceramics?,DH B301
How many units is the course 60234 Intermediate Studio: Ceramics?,10.0
Who are the instructors of the course 60234 Intermediate Studio: Ceramics?,Sekino-Bove
